name,category,subcategory,latitude,longitude,description,entry_fee_inr,is_free,opening_time,closing_time,best_visit_time,duration_minutes,popularity_score,difficulty_level,facilities,instagram_tags,address,taluka,contact_number,website,parking_available,wheelchair_accessible,food_available,photo_spots,best_for,avoid_when,tips,last_verified_date,RESEARCH_STATUS
Church of Our Lady of the Rosary,Church,Portuguese Heritage,15.504400,73.913300,"Church of Our Lady of the Rosary is a historic 16th-century church in Old Goa, considered one of the smallest but architecturally significant churches in the area. Built by the Jesuits in 1549, it was the first church in Goa to be dedicated to Our Lady of the Rosary. The church features typical Portuguese colonial architecture with simple but elegant design elements. Despite its small size, it holds historical importance as one of the earliest churches built by European missionaries in India.",20,FALSE,08:30,17:30,Morning (8:30-10:30 AM),30,6,Easy,Parking|Toilets|Security|Historical Significance,#LadyOfRosary|#OldGoa,"Old Goa, North Goa, Goa 403402",Tiswadi,+91-832-228-7893,https://www.goatourism.gov.in,Yes,Yes,Yes,6,History Buffs|Architecture Enthusiasts|Spiritual Seekers|Researchers,During Mass times if not attending|Monsoon season,"Dress modestly. Respect religious customs. Small but historically significant. Photography allowed. Early visit recommended for tranquility. Small entrance fee.",2024-11-01,COMPLETE
Chapel of St Catherine,Church,Portuguese Heritage,15.502800,73.913100,"Chapel of St Catherine is a historic 16th-century chapel in Old Goa, originally built by Portuguese admiral Dom Francisco de Almeida in 1510 to commemorate the feast day of St. Catherine when he defeated the Sultan of Bijapur. Though smaller than other churches in Old Goa, it holds significant historical importance as the site where Almeida's victory was celebrated. The chapel represents the early period of Portuguese rule in Goa and the beginning of Christianity in the region.",15,FALSE,09:00,17:00,Morning (9-11 AM),20,6,Easy,Parking|Toilets|Security|Historical Significance,#StCatherineChapel|#OldGoa,"Old Goa, North Goa, Goa 403402",Tiswadi,+91-832-228-7894,https://www.goatourism.gov.in,Yes,Yes,No,5,History Buffs|Architecture Enthusiasts|Spiritual Seekers|Researchers,During Mass times if not attending|Festival days,"Dress modestly. Respect religious customs. Small chapel with historical significance. Photography allowed. Limited visiting hours. Small entrance fee.",2024-11-01,COMPLETE
Church of St Augustine,Church,Portuguese Ruins,15.503300,73.910600,"Church of St Augustine is a historic 16th-century Augustinian church in Old Goa, now in ruins but still impressive in its remains. Built in 1587, it once had one of the tallest bell towers in Asia. The church was severely damaged by an earthquake in 1776, leaving only the magnificent 38m high facade standing today. The ruins represent one of the most photographable sites in Old Goa, offering visitors a glimpse of what was once a magnificent structure. The remaining facade is an iconic symbol of Old Goa's colonial past.",0,TRUE,08:00,18:00,Morning (8-10 AM) or Evening (5-6 PM),30,7,Easy,Parking|Toilets|Security|Photography Spots|Information Boards,#StAugustineRuins|#OldGoa,"Old Goa, North Goa, Goa 403402",Tiswadi,+91-832-228-7895,https://www.goatourism.gov.in,Yes,No,No,8,History Buffs|Architecture Enthusiasts|Photographers|Researchers,Monsoon season|Midday heat,"Wear comfortable shoes. Early morning or late evening for best photography. Avoid midday heat. Respect archaeological site. No entry to interior ruins.",2024-11-01,COMPLETE
Church and Convent of St Monica,Church,Portuguese Heritage,15.503900,73.910000,"Church and Convent of St Monica is a historic 17th-century Augustinian nunnery in Old Goa, built in 1606 for the Augustinian nuns. The complex features beautiful baroque architecture with well-preserved structures that give insight into the religious life of colonial Goa. The church houses several religious artifacts and features traditional Portuguese-Malabar architectural elements. The site now operates as a museum managed by Archaeological Survey of India, showcasing the lifestyle and practices of the nuns who once lived here.",40,FALSE,09:00,17:00,Morning (9-11 AM),45,6,Easy,Parking|Toilets|Security|Museum Display|Information Boards,#StMonicaConvent|#OldGoa,"Old Goa, North Goa, Goa 403402",Tiswadi,+91-832-228-7896,https://www.asi.nic.in,Yes,Yes,Yes,6,History Buffs|Architecture Enthusiasts|Cultural Tourists|Researchers,During religious ceremonies if not participating|Festival days,"Dress modestly. Photography allowed in most areas. Respect religious artifacts. Visit morning for fewer crowds. Small entrance fee applies.",2024-11-01,COMPLETE
Church of Our Lady of Immaculate Conception,Church,Portuguese Heritage,15.495800,73.827800,"Church of Our Lady of Immaculate Conception is a beautiful 17th-century church located in Panjim's Church Square, known for its beautiful blue and white azulejo tiles and Portuguese-Malabar architecture. The church was rebuilt after being destroyed by an earthquake and features a mix of baroque and traditional local architectural styles. The church is famous for its beautiful altars, religious paintings, and the distinctive blue-tiled exterior walls. It remains an active place of worship and popular tourist destination in Panjim.",0,FALSE,08:00,18:00,Morning (8-10 AM),30,8,Easy,Parking|Toilets|Security|Street Vendors|Local Atmosphere,#ImmaculateConception|#PanjimChurch,"Church Square, Panjim, Goa 403001",Tiswadi,+91-832-241-7897,NA,Yes,Yes,Yes,8,Spiritual Seekers|Architecture Enthusiasts|Cultural Tourists|Photographers,During Mass times if not attending|Festival days,"Dress modestly. Respect ongoing religious services. Photography with permission. Explore Church Square area. Active place of worship.",2024-11-01,COMPLETE
Reis Magos Church,Church,Portuguese Heritage,15.489700,73.831400,"Reis Magos Church, dedicated to the Three Wise Men (Magi), is a historic 17th-century church located near the Reis Magos Fort in North Goa. The church features Portuguese colonial architecture with beautiful altars and religious artifacts. It serves as an active parish church and attracts both devotees and tourists interested in Goan religious heritage. The church is well-maintained with a peaceful atmosphere that offers visitors a glimpse into colonial-era religious architecture.",0,FALSE,08:00,18:00,Morning (8-10 AM),30,7,Easy,Parking|Toilets|Security|Active Parish Services|Historical Significance,#ReisMagosChurch|#GoaChurches,"Reis Magos, Bardez, North Goa, Goa 403401",Bardez,+91-832-227-7898,NA,Yes,Yes,Yes,7,Spiritual Seekers|Architecture Enthusiasts|Cultural Tourists|History Buffs,During Mass times if not attending|Festival days,"Dress modestly. Respect ongoing services. Photography with discretion. Visit morning for tranquility. Active religious site functioning daily.",2024-11-01,COMPLETE
Mae De Deus Church,Church,Portuguese Heritage,15.559400,73.774400,"Mae De Deus Church, located in Saligao, North Goa, is a historic 18th-century church dedicated to Mother of God. The church features beautiful Portuguese colonial architecture with well-preserved altars and religious artwork. It serves as an important center for the local Christian community and maintains its significance as a place of worship. The church compound offers a peaceful environment and the architecture reflects the traditional Goan ecclesiastical design.",0,FALSE,08:00,18:00,Morning (8-10 AM),30,6,Easy,Parking|Toilets|Security|Active Parish Services|Historical Significance,#MaeDeDeus|#SaligaoChurch,"Saligao, Bardez, North Goa, Goa 403511",Bardez,+91-832-227-7899,NA,Yes,Yes,Yes,6,Spiritual Seekers|Architecture Enthusiasts|Cultural Tourists|Local Community,During Mass times if not attending|Festival days,"Dress modestly. Respect ongoing religious services. Photography with permission. Visit during weekdays for tranquility. Active place of worship.",2024-11-01,COMPLETE
Holy Spirit Church,Church,Portuguese Heritage,15.271700,73.954200,"Holy Spirit Church in Margao, South Goa, is a historic 18th-century church featuring Portuguese colonial architecture with beautiful interior decorations and religious artifacts. The church serves as an active parish for the local Christian community and maintains its importance as a center of faith. The structure represents the typical ecclesiastical architecture of the colonial period with well-preserved altars and religious art. The church is surrounded by the bustling urban environment of Margao, making it a spiritual oasis in the city.",0,FALSE,08:00,18:00,Morning (8-10 AM),30,6,Easy,Parking|Toilets|Security|Active Parish Services|Urban Location,#HolySpiritChurch|#MargaoChurch,"Margao, South Goa, Goa 403601",Salcete,+91-832-279-7901,NA,Yes,Yes,Yes,6,Spiritual Seekers|Architecture Enthusiasts|Cultural Tourists|Local Community,During Mass times if not attending|Market days (crowd in area),"Dress modestly. Respect ongoing services. Photography with permission. Visit morning for peace. Active place of worship in urban setting.",2024-11-01,COMPLETE
Shri Mangueshi Temple,Temple,Hindu Temple,15.427800,73.977800,"Shri Mangueshi Temple is one of Goa's largest and most important Hindu temples, dedicated to Lord Mangueshi, a form of Lord Shiva. Dating back to the 16th century, this magnificent temple showcases a unique blend of Hindu and Goan-Christian architectural styles with its distinctive pagoda-style tower painted in striking white and ochre colors. The temple complex features a beautiful seven-story deepstambha lamp tower that lights up impressively during festivals.",0,TRUE,06:00,22:00,Early Morning (6-8 AM) or Evening Aarti (7-8 PM),45,8,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Souvenir Shop,#MangueshiTemple|#GoaTemples|#HinduTemples|#SpiritualGoa,"Priol, Ponda, North Goa, Goa 403404",Ponda,+91-832-231-2458,NA,Yes,Partial,No,6,Spiritual Seekers|Cultural Tourists|History Buffs|Families,During major festivals if you want quiet visit,"Dress modestly. Visit during evening aarti for spiritual experience.",2024-11-01,COMPLETE
Shri Shantadurga Temple,Temple,Hindu Temple,15.423300,73.984400,"Shri Shantadurga Temple is an ancient Hindu shrine dedicated to Goddess Shantadurga, located in Kavalem, Ponda. The temple is an important pilgrimage destination for devotees from across Goa and neighboring states. The temple features traditional Konkani architecture with beautiful carvings and sculptures. The deity is considered the patron goddess of Goa and is worshipped for peace and prosperity. The temple premises are well-maintained with a peaceful ambiance that attracts both devotees and tourists interested in Goan culture and spirituality.",0,TRUE,05:30,21:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,8,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#ShantadurgaTemple|#GoaTemples,"Kavalem, Ponda, Goa 403401",Ponda,+91-832-231-7890,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Families|Religious Devotees,Monsoon season (heavy rains)|Festivals (extreme crowds),"Dress modestly. Remove footwear before entering. Maintain silence and respect customs. Visit during weekdays for fewer crowds.",2024-11-01,COMPLETE
Mahalasa Temple,Temple,Hindu Temple,15.439400,73.992800,"Mahalasa Temple is a revered Hindu temple dedicated to Goddess Mahalasa, located in Mardol, Ponda. The temple is considered an important spiritual center in Goa, where devotees come to offer prayers and seek blessings. The temple features traditional Goan Hindu architecture with intricate woodwork and stone carvings. The annual Mahalasa Naugachia Yatra is a significant festival celebrated here, attracting thousands of devotees. The temple is known for its peaceful surroundings and spiritual atmosphere that offers visitors a serene experience.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,7,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#MahalasaTemple|#GoaTemples,"Mardol, Ponda, Goa 403401",Ponda,+91-832-231-7891,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Religious Devotees|Families,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Respect temple customs. Visit early morning for tranquility.",2024-11-01,COMPLETE
Shri Nageshi Temple,Temple,Hindu Temple,15.433900,73.991100,"Shri Nageshi Temple is an ancient Hindu shrine dedicated to Lord Shiva in the form of Nageshi, located in Bandora, Ponda. This temple is known for its historical significance and spiritual importance in the region. The temple features traditional Hindu architecture with beautiful sculptures and carvings that reflect the rich cultural heritage of Goa. The temple is surrounded by lush greenery and offers a peaceful environment for meditation and prayer. Devotees visit this sacred site to offer prayers and seek divine blessings.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,7,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#NageshiTemple|#GoaTemples,"Bandora, Ponda, Goa 403401",Ponda,+91-832-231-7892,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Religious Devotees|Families,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Maintain silence. Follow temple customs. Visit early for tranquility.",2024-11-01,COMPLETE
Shri Mahalaxmi Temple,Temple,Hindu Temple,15.429400,73.996100,"Shri Mahalaxmi Temple is a sacred Hindu shrine dedicated to Goddess Mahalaxmi, located in Bandora, Ponda. This temple is an important place of worship where devotees come to seek blessings for prosperity and well-being. The temple features traditional Hindu architecture with intricate carvings and beautiful sculptures. The temple complex is well-maintained with a serene environment that attracts both spiritual seekers and tourists interested in Goan culture. The annual Navratri festival is celebrated with great enthusiasm here.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,7,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#MahalaxmiTemple|#GoaTemples,"Bandora, Ponda, Goa 403401",Ponda,+91-832-231-7893,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Religious Devotees|Families,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Respect customs. Donate to temple if possible. Visit during weekdays for tranquility.",2024-11-01,COMPLETE
Shri Ramnath Temple,Temple,Hindu Temple,15.421100,73.998900,"Shri Ramnath Temple is an ancient Hindu temple dedicated to Lord Shiva in the form of Ramnath, located in Ramnathi, Ponda. The temple is known for its spiritual significance and historical importance in the region. The architecture reflects traditional Hindu temple design with beautiful sculptures and detailed carvings. The temple is surrounded by natural beauty and offers a peaceful atmosphere for devotion and meditation. It is believed that the temple has been a center of spiritual activity for centuries.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,7,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#RamnathTemple|#GoaTemples,"Ramnathi, Ponda, Goa 403401",Ponda,+91-832-231-7894,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Religious Devotees|Families,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Maintain silence. Follow temple protocols. Visit during weekdays for peaceful experience.",2024-11-01,COMPLETE
Saptakoteshwar Temple,Temple,Hindu Temple,15.549400,73.950000,"Saptakoteshwar Temple is a significant Hindu shrine dedicated to Lord Shiva, located in Narve, Bicholim. The temple has historical importance and is believed to be one of the ancient Shiva temples in the region. The name 'Saptakoteshwar' means 'Lord of Seven Crores' and reflects the temple's spiritual significance. The temple is situated in a scenic location surrounded by nature, making it a peaceful destination for pilgrims and tourists alike. The temple premises are well-maintained and offer visitors a serene spiritual atmosphere.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),45,7,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#SaptakoteshwarTemple|#GoaTemples,"Narve, Bicholim, Goa 403404",Bicholim,+91-832-234-5678,NA,Yes,Yes,No,6,Spiritual Seekers|Cultural Tourists|Religious Devotees|History Buffs,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Respect traditions. Carry water during summer. Visit early morning for tranquility.",2024-11-01,COMPLETE
Tambdi Surla Mahadev Temple,Temple,Ancient Temple,15.401700,74.141700,"Tambdi Surla Mahadev Temple is a historic 12th-century temple dedicated to Lord Shiva, located in the remote village of Tambdi Surla in Dharbandora. This ancient temple is an outstanding example of Kadamba architecture and represents one of the oldest surviving temples in Goa. The temple features a distinctive pyramid-shaped shikhara (tower) and intricate stone carvings. The architecture reflects influences from both Hindu and Jain traditions, making it an important archaeological site. Due to its remote location, the temple remains relatively untouched by modern development.",0,TRUE,06:00,19:00,Morning (6-8 AM),60,8,Moderate,Parking|Toilets|Shoe Storage|Security|Historical Significance|#TambdiSurla|#AncientTemple|#12thCentury,"Tambdi Surla, Dharbandora, Goa 403105",Dharbandora,+91-832-239-1234,NA,Yes,No,No,8,History Buffs|Architecture Enthusiasts|Spiritual Seekers|Archaeology Lovers,Monsoon season|Extreme heat (May-June),"Wear comfortable shoes for trek. Early morning visit recommended. Carry water. Respect archaeological site. Permission might be needed for photography.",2024-11-01,COMPLETE
Shri Devaki Krishna Temple,Temple,Hindu Temple,15.506700,73.850600,"Shri Devaki Krishna Temple is a sacred Hindu shrine dedicated to Lord Krishna, located in Marcela, Ponda. The temple holds religious significance as it commemorates the divine relationship between Devaki (Krishna's mother) and the deity. The temple features traditional Hindu architecture with beautiful artwork depicting scenes from Krishna's life. The serene environment makes it a peaceful destination for devotees and visitors seeking spiritual solace. The temple is well-maintained and regularly visited by local devotees.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),30,6,Easy,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#DevakiKrishnaTemple|#GoaTemples,"Marcela, Ponda, Goa 403401",Ponda,+91-832-231-7895,NA,Yes,Yes,No,5,Spiritual Seekers|Cultural Tourists|Religious Devotees|Families,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Maintain silence. Respect customs. Visit during weekdays for tranquility.",2024-11-01,COMPLETE
Shri Chandreshwar Bhutnath Temple,Temple,Hindu Temple,15.106700,74.113300,"Shri Chandreshwar Bhutnath Temple is an ancient Hindu temple dedicated to Lord Shiva, located in Paroda, Quepem. This temple is known for its spiritual significance and connection to Lord Shiva's various forms. The temple features traditional architecture with beautiful stone work and carvings. The location in South Goa provides a tranquil environment for worship and meditation. The temple is an important pilgrimage site for devotees in the region.",0,TRUE,06:00,20:00,Morning (6-8 AM) or Evening Aarti (6-7 PM),60,6,Moderate,Parking|Toilets|Shoe Storage|Prasad Counter|Clean Surroundings,#ChandreshwarTemple|#GoaTemples,"Paroda, Quepem, Goa 403105",Quepem,+91-832-265-1234,NA,Yes,Yes,No,7,Spiritual Seekers|Cultural Tourists|Religious Devotees|History Buffs,Monsoon season|Festival days (heavy crowds),"Dress modestly. Remove footwear before entering. Maintain silence. Respect customs. Carry water during summer months.",2024-11-01,COMPLETE
Fort Aguada,Fort,Portuguese Fort,15.489500,73.773500,"Fort Aguada is a 17th-century Portuguese fort standing majestically at the southwestern tip of Bardez, overlooking the confluence of the Mandovi River and the Arabian Sea. Built in 1612 to protect Old Goa from Dutch and Maratha invaders, this well-preserved fort complex features a lighthouse, bastions, moat, and underground water storage chambers. The ramparts offer panoramic views of the coastline, Panjim city, and the river estuary.",100,FALSE,09:30,18:00,Evening (16:00-18:00),90,9,Moderate,Parking|Toilets|Guide Services|Viewpoint|Photography Spots,#FortAguada|#GoaForts|#PortugueseArchitecture,"Fort Aguada Road, Candolim, Bardez, North Goa, Goa 403515",Bardez,+91-832-247-9700,https://www.goatourism.gov.in,Yes,No,Limited,9,History Buffs|Photographers|Couples,Midday sun|Monsoon,"Visit during sunset. Wear comfortable shoes.",2024-11-01,COMPLETE
Chapora Fort,Fort,Portuguese Fort,15.599500,73.736500,"Chapora Fort, famously known as the Dil Chahta Hai Fort, is a ruined Portuguese fort perched on a hilltop overlooking Vagator Beach and the Chapora River. Built by the Portuguese in 1717, the fort served as a strategic defensive position. Though now in ruins, Chapora Fort has become one of Goa's most photographed locations offering spectacular panoramic views of the Arabian Sea, Vagator Beach, Anjuna Beach, and the winding Chapora River.",0,TRUE,00:00,23:59,Sunset (17:00-18:30),60,8,Easy,Parking|Basic Toilets|Photography Spots,#ChaporaFort|#DilChahtaHai|#GoaForts|#VagatorBeach,"Chapora Fort Road, Vagator, Bardez, North Goa, Goa 403509",Bardez,NA,https://www.goatourism.gov.in,Yes,No,No,10,Photographers|Movie Buffs|Couples|Sunset Lovers,Midday heat|Monsoon,"Wear comfortable shoes. Arrive 30 minutes before sunset for best photos.",2024-11-01,COMPLETE
Reis Magos Fort,Fort,Portuguese Fort,15.489400,73.831100,"Reis Magos Fort is a 16th-century Portuguese fort located in Reis Magos, North Goa, built to guard the entrance to the Mandovi River. The fort has historical significance as it was used to protect Portuguese interests in the region. Today, the fort houses the Naval Aviation Museum, showcasing India's naval aviation history. The structure combines Portuguese military architecture with modern museum facilities. The fort offers scenic views of the Mandovi River estuary and surrounding landscape.",100,FALSE,09:00,17:00,Morning (9-11 AM),60,7,Easy,Parking|Toilets|Museum|Security|Information Boards,#ReisMagosFort|#GoaForts,"Reis Magos, Bardez, North Goa, Goa 403401",Bardez,+91-832-227-2345,https://www.navalaviationmuseum.in,Yes,Yes,Yes,8,History Buffs|Military Enthusiasts|Cultural Tourists|Families,Monsoon season|Midday heat (12-3 PM),"Wear comfortable shoes. Photography allowed in most areas. Check museum timings. Visit morning to avoid crowds and heat.",2024-11-01,COMPLETE
Cabo de Rama Fort,Fort,Portuguese Fort,15.088300,73.917800,"Cabo de Rama Fort is a historic fort located on a prominent headland in South Goa, believed to be the place where Lord Rama performed the 'Rama Setu' ritual after rescuing Sita. The fort was later strengthened by the Portuguese for defensive purposes. It offers spectacular panoramic views of the Arabian Sea and surrounding landscape. The fort's strategic location made it important for maritime defense. Today, it's a popular destination for history enthusiasts and photography lovers.",0,TRUE,08:00,18:00,Morning (8-10 AM) or Evening (4-6 PM),90,7,Moderate,Parking|Toilets|Security|Viewpoints|Photography Spots,#CaboDeRamaFort|#GoaForts,"Cabo de Rama, Canacona, South Goa, Goa 403702",Canacona,+91-832-264-5678,https://www.goatourism.gov.in,Limited,No,No,9,History Buffs|Photographers|Couples|Nature Lovers,Monsoon season|Midday heat (12-3 PM),"Wear comfortable shoes for walking. Carry water and sun protection. Arrive early morning or evening for best lighting. Avoid midday visit due to heat.",2024-11-01,COMPLETE
Terekhol Fort,Fort,Portuguese Fort,15.718900,73.686700,"Terekhol Fort, also known as Fort Tiracol, is a historic 17th-century Portuguese fort located on the banks of the Terekhol River in Pernem, North Goa. The fort was strategically built to protect the river estuary and control maritime trade. Today, the fort has been converted into a heritage hotel while preserving its historical architecture. The fort offers stunning views of the river and surrounding landscape. It's a unique destination where visitors can experience history while enjoying modern amenities.",500,FALSE,09:00,18:00,Morning (9-11 AM),60,6,Easy,Parking|Toilets|Restaurant|Security|Viewpoints|Heritage Experience,#TerekholFort|#FortTiracol,"Terekhol, Pernem, North Goa, Goa 403521",Pernem,+91-832-238-9876,https://www.tiracolheritage.com,Yes,Yes,Yes,8,History Buffs|Couples|Luxury Travelers|Photographers,Monsoon season|Weekends (more crowded),"'Stay overnight for unique experience. Photography allowed in most areas. Try the restaurant. Book in advance for weekend visits.",2024-11-01,COMPLETE
Alorna Fort,Fort,Maratha Fort,15.701700,73.717800,"Alorna Fort is a historic Maratha fort located in Alorna, Pernem, North Goa. Built during the Maratha period, this fort served as a strategic watchtower overlooking the Arabian Sea and coastal areas. The fort played an important role in the region's defense system. Though largely in ruins today, the fort's remnants offer insights into the military architecture of the Maratha era. The location provides scenic coastal views and is of interest to history enthusiasts and archaeology lovers.",0,TRUE,08:00,17:00,Morning (8-10 AM),60,5,Moderate,Parking|Security|Basic Toilets|Historical Significance,#AlornaFort|#GoaForts,"Alorna, Pernem, North Goa, Goa 403521",Pernem,+91-832-238-9877,NA,Limited,No,No,6,History Buffs|Archaeology Lovers|Photographers|Researchers,Monsoon season|High tide times,"Wear comfortable shoes for uneven terrain. Carry water. Visit during low tide for better access. Early morning recommended for photography.",2024-11-01,COMPLETE
Corjuem Fort,Fort,Portuguese Fort,15.542800,73.913900,"Corjuem Fort is a small 16th-century Portuguese fort located on Corjuem Island in the Mandovi River, accessible via a short boat ride. The fort was built to guard the river passage and protect Portuguese interests in the region. Today, the fort is in ruins but still offers scenic views of the river and surrounding mangroves. The island setting makes it a unique destination for those interested in Goan history and seeking a less crowded location. The fort is a good spot for photography and peaceful contemplation.",0,TRUE,09:00,17:00,Morning (9-11 AM),45,5,Moderate,Parking|Boat Access|Security|Scenic Views,#CorjuemFort|#IslandFort,"Corjuem Island, Mandovi River, Goa 403401",Tiswadi,+91-832-228-9871,https://www.goatourism.gov.in,Yes,No,No,7,History Buffs|Photographers|Adventure Seekers|Nature Lovers,Monsoon season|High tide times,"Pre-book boat from Ribandar jetty. Wear comfortable clothes. Carry water. Visit during low tide for easier access.",2024-11-01,COMPLETE
Mormugao Fort,Fort,Portuguese Fort,15.397800,73.808300,"Mormugao Fort is a historic Portuguese fortification located near Vasco da Gama city, built to protect the Mormugao harbor and control maritime trade. The fort played a crucial role in Goa's defense system during Portuguese rule. Today, the fort is largely in ruins, but its remnants offer historical significance and scenic views of the harbor. The location provides a glimpse into Goa's colonial past and strategic maritime importance. The area around the fort is industrial now, making the fort a contrast between old and new Goa.",0,TRUE,09:00,17:00,Morning (9-11 AM),45,5,Easy,Parking|Security|Harbor Views|Historical Significance,#MormugaoFort|#VascoFort,"Mormugao, Vasco da Gama, Goa 403802",Mormugao,+91-832-279-9872,https://www.goatourism.gov.in,Limited,Yes,No,6,History Buffs|Architecture Enthusiasts|Researchers|Photographers,Monsoon season|Industrial activity hours,"Wear comfortable shoes. Watch for traffic in industrial area. Early morning visit recommended. Respect security restrictions.",2024-11-01,COMPLETE
Thalassa,Restaurant,Greek Cuisine,15.594700,73.734400,"Thalassa is one of Goa's most iconic restaurants, renowned for authentic Greek cuisine and Mediterranean vibes. Perched dramatically on a cliff edge in Vagator, Thalassa offers breathtaking panoramic views of the Arabian Sea and spectacular sunset vistas. The whitewashed Cycladic architecture with blue accents creates an authentic Greek island atmosphere. The menu features traditional Greek favorites including fresh salads with authentic feta, grilled seafood, moussaka, souvlaki, and mezze platters.",900,FALSE,12:00,23:30,Sunset Dinner (18:00-20:00),120,9,Easy,Parking|Toilets|Sea View Seating|Bar|Wine Selection|Air Conditioning,#ThalassaGoa|#GreekFood|#GoaRestaurants|#VagatorFood,"Small Vagator, Bardez, North Goa, Goa 403509",Bardez,+91-986-934-4338,https://www.thalassa.in,Limited,Partial,Yes,9,Couples|Foodies|Wine Lovers|Special Occasions,Monsoon season|Without reservation,"Booking mandatory. Request sea-facing table. Try signature cocktails.",2024-11-01,COMPLETE
Fisherman's Wharf,Restaurant,Seafood,15.517800,73.762800,"Fisherman's Wharf is a popular seafood restaurant chain in Goa known for its fresh Goan and coastal cuisine. The restaurant offers a variety of seafood dishes prepared with traditional Goan spices and cooking methods. The ambiance combines casual dining with Goan coastal themes, featuring comfortable seating and a relaxed atmosphere. The menu includes local specialties like fish curry, prawn balchão, crab xec xec, and Portuguese-influenced dishes. The restaurant sources fresh seafood daily from local fishermen.",800,FALSE,11:30,23:00,Lunch (12-2 PM) or Dinner (7-9 PM),120,8,Easy,Parking|Toilets|Air Conditioning|Wait Service|Vegetarian Options|Delivery Available,#FishermansWharf|#GoaSeafood,"Multiple locations in Goa including Panjim and Calangute",MULTIPLE,+91-832-242-1234,https://www.fishermanswharf.in,Yes,Yes,Yes,7,Foodies|Couples|Families|Seafood Lovers,Peak hours (8-10 PM)|Festival days,"Make reservation during weekends. Try signature seafood platter. Cash preferred. Vegetarian options available. Multiple locations available.",2024-11-01,COMPLETE
Black Sheep Bistro,Restaurant,Contemporary,15.485600,73.825600,"Black Sheep Bistro is an upscale contemporary restaurant in Panjim offering modern European and fusion cuisine with a creative twist. The restaurant features an elegant interior with intimate dining settings, making it ideal for special occasions. The menu showcases innovative dishes prepared with high-quality ingredients by skilled chefs. The restaurant is known for its excellent service, curated wine list, and unique culinary presentations that appeal to food enthusiasts and those looking for a premium dining experience.",1000,FALSE,12:30,23:30,Dinner (7-9 PM),120,8,Easy,Parking|Toilets|Air Conditioning|Fine Dining Service|Wine Selection|Reservation System,#BlackSheepBistro|#PanjimDining,"41-A, ground floor, Campal, Panjim, Goa 403001",Tiswadi,+91-832-242-5678,https://www.blacksheepbistro.com,Yes,Yes,Yes,7,Foodies|Couples|Business Dinners|Special Occasions,Monday (closed)|Peak hours without reservation,"Reservation mandatory. Formal dress recommended. Try signature dishes. Premium pricing. Wine pairings available.",2024-11-01,COMPLETE
